seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4235,4238073,1789657821056.3,,1789657821056.5,1789657821102.6,46.1,204
4236,4239073,1789657821109.2,52.9,1789657821109.4,1789657821127.9,18.5,204
4237,4240073,1789657821547.8,438.6,1789657821548.0,1789657821570.6,22.6,204
4238,4241073,1789657822547.8,1000.0,1789657822548.0,1789657822570.1,22.1,204
4239,4242073,1789657823548.2,1000.4,1789657823548.3,1789657823580.5,32.1,204
4240,4243073,1789657824548.1,1000.0,1789657824548.3,1789657824585.5,37.2,204
4241,4244073,1789657825548.1,1000.0,1789657825548.3,1789657825572.6,24.3,204
4242,4245073,1789657826547.8,999.7,1789657826548.0,1789657826598.1,50.2,204
4243,4246073,1789657827547.8,1000.0,1789657827547.9,1789657827568.3,20.4,204
4244,4247073,1789657828548.1,1000.3,1789657828548.3,1789657828707.8,159.5,204
4245,4248073,1789657829548.0,999.9,1789657829548.2,1789657829617.6,69.5,204
4246,4249073,1789657830548.1,1000.1,1789657830548.3,1789657830575.0,26.7,204
4247,4250073,1789657831548.3,1000.2,1789657831548.4,1789657831572.4,23.9,204
4248,4251073,1789657832547.8,999.5,1789657832547.9,1789657832593.5,45.6,204
4249,4252073,1789657833548.1,1000.3,1789657833548.2,1789657833567.0,18.7,204
4250,4253073,1789657834548.1,1000.0,1789657834548.3,1789657834800.8,252.5,204
4251,4254073,1789657835547.8,999.7,1789657835548.0,1789657835574.2,26.2,204
4252,4255073,1789657836548.4,1000.6,1789657836548.5,1789657836574.6,26.1,204
4253,4256073,1789657837547.8,999.5,1789657837548.0,1789657837599.3,51.3,204
4254,4257073,1789657838548.2,1000.3,1789657838548.3,1789657838589.0,40.6,204
4255,4258073,1789657839548.2,1000.1,1789657839548.4,1789657839662.8,114.4,204
4256,4259073,1789657840551.5,1003.3,1789657840551.7,1789657840574.8,23.1,204
