seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
297,300073,1789653883082.4,,1789653883082.6,1789653883133.2,50.6,204
298,301073,1789653883140.1,57.6,1789653883140.3,1789653883157.8,17.6,204
299,302073,1789653883564.8,424.7,1789653883565.0,1789653883615.0,50.0,204
300,303073,1789653884565.3,1000.5,1789653884565.4,1789653884595.4,30.0,204
301,304073,1789653885565.1,999.8,1789653885565.2,1789653885586.5,21.3,204
302,305073,1789653886565.0,999.9,1789653886565.1,1789653886620.7,55.6,204
303,306073,1789653887565.0,1000.0,1789653887565.2,1789653887581.7,16.5,204
304,307073,1789653888565.2,1000.2,1789653888565.4,1789653888659.0,93.6,204
305,308073,1789653889565.2,999.9,1789653889565.3,1789653889592.1,26.8,204
306,309073,1789653890565.1,999.9,1789653890565.2,1789653890602.2,37.0,204
307,310073,1789653891565.3,1000.2,1789653891565.4,1789653891584.3,18.9,204
308,311073,1789653892566.3,1001.0,1789653892566.5,1789653892630.4,63.9,204
309,312073,1789653893565.3,999.0,1789653893565.5,1789653893592.9,27.4,204
310,313073,1789653894565.4,1000.0,1789653894565.5,1789653894595.8,30.3,204
311,314073,1789653895565.6,1000.2,1789653895565.7,1789653895601.0,35.2,204
312,315073,1789653896565.6,1000.0,1789653896565.7,1789653896646.5,80.7,204
313,316073,1789653897565.2,999.6,1789653897565.3,1789653897602.0,36.6,204
314,317073,1789653898565.2,1000.0,1789653898565.3,1789653898592.8,27.5,204
315,318073,1789653899565.0,999.8,1789653899565.2,1789653899604.1,38.9,204
316,319073,1789653900565.3,1000.4,1789653900565.5,1789653900603.2,37.7,204
317,320073,1789653901564.6,999.3,1789653901564.8,1789653901601.8,37.0,204
318,321073,1789653902564.6,1000.0,1789653902564.8,1789653902597.4,32.6,204
319,322073,1789653903564.4,999.8,1789653903564.6,1789653903594.7,30.1,204
320,323073,1789653904563.8,999.4,1789653904564.0,1789653904618.5,54.5,204
321,324073,1789653905564.1,1000.3,1789653905564.3,1789653905608.4,44.2,204
322,325073,1789653906563.9,999.8,1789653906564.1,1789653906600.1,36.0,204
323,326073,1789653907563.4,999.5,1789653907563.6,1789653907584.3,20.7,204
324,327073,1789653908563.9,1000.4,1789653908564.0,1789653908630.7,66.7,204
325,328073,1789653909563.2,999.3,1789653909563.3,1789653909585.9,22.6,204
326,329073,1789653910563.3,1000.1,1789653910563.4,1789653910581.0,17.5,204
327,330073,1789653911563.1,999.8,1789653911563.2,1789653911610.0,46.7,204
328,331073,1789653912562.5,999.4,1789653912562.7,1789653912600.4,37.7,204
329,332073,1789653913563.1,1000.6,1789653913563.4,1789653913610.5,47.2,204
330,333073,1789653914562.5,999.4,1789653914562.7,1789653914589.6,26.9,204
331,334073,1789653915562.0,999.5,1789653915562.2,1789653915607.5,45.3,204
332,335073,1789653916562.4,1000.4,1789653916562.6,1789653916588.8,26.2,204
333,336073,1789653917561.7,999.3,1789653917561.8,1789653917580.0,18.2,204
334,337073,1789653918561.8,1000.1,1789653918561.9,1789653918589.5,27.6,204
335,338073,1789653919561.6,999.8,1789653919561.7,1789653919581.9,20.2,204
336,339073,1789653920561.0,999.5,1789653920561.2,1789653920593.6,32.4,204
337,340073,1789653921561.4,1000.4,1789653921561.6,1789653921683.6,122.0,204
338,341073,1789653922560.8,999.4,1789653922561.0,1789653922580.9,19.9,204
339,342073,1789653923560.8,1000.0,1789653923561.0,1789653923614.4,53.4,204
340,343073,1789653924560.6,999.7,1789653924560.7,1789653924586.0,25.3,204
341,344073,1789653925560.1,999.5,1789653925560.2,1789653925610.0,49.8,204
342,345073,1789653926560.4,1000.3,1789653926560.6,1789653926585.1,24.5,204
343,346073,1789653927559.8,999.4,1789653927559.9,1789653927581.7,21.8,204
344,347073,1789653928559.8,1000.0,1789653928560.0,1789653928586.9,26.9,204
345,348073,1789653929559.5,999.7,1789653929559.7,1789653929686.8,127.1,204
346,349073,1789653930559.0,999.5,1789653930559.2,1789653930578.4,19.2,204
347,350073,1789653931559.1,1000.2,1789653931559.2,1789653931636.7,77.4,204
