seq,t_esp_ms,t_recv_ms,intervalo_ms,t_before_post_ms,t_after_post_ms,rtt_broker_ms,http_status
4559,4562073,1789658144738.5,,1789658144738.7,1789658144772.4,33.7,204
4560,4563073,1789658144779.5,40.9,1789658144779.7,1789658144800.5,20.9,204
4561,4564073,1789658145550.4,771.0,1789658145550.6,1789658145584.5,33.9,204
4562,4565073,1789658146550.6,1000.1,1789658146550.7,1789658146620.8,70.0,204
4563,4566073,1789658147550.6,1000.0,1789658147550.7,1789658147787.6,236.9,204
4564,4567073,1789658148550.7,1000.2,1789658148550.9,1789658148573.6,22.7,204
4565,4568073,1789658149550.7,999.9,1789658149550.8,1789658149578.5,27.7,204
4566,4569073,1789658150550.2,999.6,1789658150550.4,1789658150574.0,23.6,204
4567,4570073,1789658151550.8,1000.6,1789658151551.0,1789658151573.9,22.9,204
4568,4571073,1789658152551.0,1000.1,1789658152551.2,1789658152588.0,36.9,204
4569,4572073,1789658153550.6,999.6,1789658153550.8,1789658153571.6,20.8,204
4570,4573073,1789658154550.8,1000.2,1789658154551.0,1789658154594.8,43.8,204
4571,4574073,1789658155550.9,1000.1,1789658155551.1,1789658155674.8,123.7,204
4572,4575073,1789658156551.1,1000.2,1789658156551.2,1789658156634.1,82.9,204
4573,4576073,1789658157551.2,1000.1,1789658157551.4,1789658157608.3,56.9,204
4574,4577073,1789658158550.8,999.6,1789658158551.0,1789658158634.3,83.3,204
4575,4578073,1789658159550.9,1000.1,1789658159551.2,1789658159657.0,105.9,204
4576,4579073,1789658160550.9,1000.0,1789658160551.1,1789658160599.8,48.6,204
4577,4580073,1789658161550.6,999.6,1789658161550.7,1789658161608.4,57.7,204
4578,4581073,1789658162551.1,1000.5,1789658162551.2,1789658162576.4,25.2,204
4579,4582073,1789658163550.8,999.7,1789658163551.0,1789658163794.6,243.7,204
